,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,603156,养元饮品,3.85,,,,,190506.24,,,02-09
1,603871,嘉友国际,1.77,,,30.38,1.91,10628.55,,,02-05
2,300739,明阳电路,1.0,,,,,8618.3,,,01-15
3,002925,盈趣科技,0.76,,,54.97,,29021.21,,,12-26
4,002921,联诚精密,0.64,,,,,3810.11,,,12-26
5,601838,成都银行,0.68,,,10.63,,220554.5,,,12-19
6,603477,振静股份,0.19,,,8.92,-0.4,3479.04,,,12-15
7,002916,深南电路,0.98,,,12.37,2.48,20661.16,,,12-12
8,603655,朗博科技,0.26,,,7.82,,2072.16,,,12-11
9,300732,设研院,1.17,,,9.45,0.34,6301.56,,,12-11
10,002920,德赛西威,1.03,,,46.24,,46369.46,,,12-05
11,002915,中欣氟材,0.16,,,5.51,0.51,1373.21,,,12-04
12,002918,蒙娜丽莎,1.16,,,21.83,,13689.12,,,11-29
13,603809,豪能股份,1.18,,,,,9401.06,,,11-27
14,002911,佛燃股份,0.55,,,16.85,0.79,27486.51,,,11-21
15,002917,金奥博,0.84,,,26.98,,4568.36,,,11-21
16,601019,山东出版,0.46,,,17.91,0.15,84046.47,,,11-21
17,603661,恒林股份,2.57,,,,,19259.45,,,11-20
18,300726,宏达电子,0.38,,,20.51,0.09,13792.77,,,11-20
19,300731,科创新源,0.61,,,20.29,,3951.38,,,11-20
20,603365,水星家纺,0.57,,,,,11328.06,,,11-17
21,603619,中曼石油,0.84,,,29.16,,30189.96,,,11-16
22,300723,一品红,0.76,,,37.74,0.67,9111.01,,,11-15
23,002864,盘龙药业,0.36,,,7.74,0.57,2323.28,,,11-15
24,603970,中农立华,0.66,,,,,6597.76,,,11-15
25,300730,科创信息,-0.17,,,-8.32,,-1153.35,,,11-14
26,603605,珀莱雅,0.5,,,16.95,0.41,7532.94,,,11-14
27,603917,合力科技,0.54,,,12.8,,4507.03,,,11-14
28,002913,奥士康,1.27,,,20.24,,13729.28,,,11-13
29,300729,乐歌股份,0.66,,,14.65,0.19,4180.38,,,11-13
30,603076,乐惠国际,0.95,,,16.3,1.08,5295.01,,,11-10
31,603278,大业股份,0.72,,,22.45,0.72,11172.4,,,11-10
32,603083,剑桥科技,0.54,,,7.34,0.58,3934.63,,,11-09
33,603916,苏博特,0.41,,,9.02,0.44,9432.85,,,11-09
34,300716,国立科技,0.48,,,9.57,0.6,3676.18,,,11-08
35,300719,安达维尔,0.05,,,2.14,-0.8,617.6,,,11-08
36,300727,润禾材料,0.35,,,12.24,0.23,2452.1,,,11-07
37,603685,晨丰科技,0.9,,,,,6780.08,,,11-06
38,600903,贵州燃气,0.08,,,3.44,0.4,5305.11,,,11-06
39,300720,海川智能,0.35,,,9.1,0.44,1891.83,,,11-03
40,603507,振江股份,1.1,,,24.13,0.61,10395.67,,,11-03
41,603856,东宏股份,0.56,,,9.92,1.27,8217.43,,,11-03
42,300718,长盛轴承,0.75,,,12.42,1.05,5609.87,,,11-03
43,300717,华信新材,0.61,,,12.18,0.72,2944.96,,,11-03
44,603659,璞泰来,0.52,,,26.02,0.42,19247.17,,,11-02
45,603768,常青股份,0.76,,,17.76,,11647.67,,,10-31
46,603359,东珠景观,0.83,,,12.79,,14152.71,,,10-31
47,603043,广州酒家,0.5,,,20.9,,17652.49,,,10-31
48,603908,牧高笛,0.86,,,23.35,,4310.77,,,10-31
49,603098,森特股份,0.42,,,14.39,,14008.0,,,10-31
50,600909,华安证券,0.18,,,7.71,,51393.41,,,10-31
51,603458,勘设股份,1.26,,,15.93,,11695.74,,,10-31
52,603226,菲林格尔,0.82,,,19.33,,5319.24,,,10-31
53,300713,英可瑞,,,,,,6460.46,,,10-31
54,601881,中国银河,0.37,,,6.19,,354950.56,,,10-31
55,603730,岱美股份,0.91,,,24.92,,32589.67,,,10-31
56,601949,中国出版,0.11,,,4.14,,16214.76,,,10-31
57,603825,华扬联众,0.04,,,0.84,,451.77,,,10-31
58,603196,日播时尚,0.18,,,7.56,,3328.69,,,10-31
59,603603,博天环境,0.26,,,11.5,,9183.5,,,10-31
60,603098,森特股份,0.42,,,14.39,,14008.0,,,10-31
61,600909,华安证券,0.18,,,7.71,,51393.41,,,10-31
62,603458,勘设股份,1.26,,,15.93,,11695.74,,,10-31
63,601881,中国银河,0.37,,,6.19,,354950.56,,,10-31
64,603730,岱美股份,0.91,,,24.92,,32589.67,,,10-31
65,601949,中国出版,0.11,,,4.14,,16214.76,,,10-31
66,603825,华扬联众,0.04,,,0.84,,451.77,,,10-31
67,603226,菲林格尔,0.82,,,19.33,,5319.24,,,10-31
68,300713,英可瑞,,,,,,6460.46,,,10-31
69,603707,健友股份,0.57,,,17.14,,20489.18,,,10-31
70,603196,日播时尚,0.18,,,7.56,,3328.69,,,10-31
71,603603,博天环境,0.26,,,11.5,,9183.5,,,10-31
72,002858,力盛赛车,0.08,,,,,360.41,,,10-31
73,603926,铁流股份,0.9,,,18.32,,8115.14,,,10-31
74,603976,正川股份,0.71,,,11.82,,5753.42,,,10-31
75,603136,天目湖,1.08,,,21.73,,6468.83,,,10-31
76,002863,今飞凯达,0.25,,,,,4230.66,,,10-31
77,603357,设计总院,0.66,,,23.25,,15989.5,,,10-31
78,603387,基蛋生物,0.97,,,25.62,,9602.16,,,10-31
79,603617,君禾股份,0.52,40.54,,19.42,,3923.23,54.25,,10-31
80,603041,美思德,0.75,,,15.02,,5658.82,,,10-31
81,603232,格尔软件,0.07,,,1.24,,304.88,,,10-31
82,002886,沃特股份,0.43,,,,,2547.32,,,10-31
83,601375,中原证券,0.17,,,6.76,,54975.58,,,10-31
84,603813,原尚股份,0.37,,,8.24,,2418.49,,,10-31
85,603728,鸣志电器,0.43,,,15.28,,10252.66,,,10-30
86,300635,达安股份,0.44,,,,,4430.11,,,10-30
87,300653,正海生物,0.5,,,,,2972.16,,,10-30
88,603326,我乐家居,0.22,,,10.71,,2689.41,,,10-30
89,603396,金辰股份,0.87,,,13.04,,4904.38,,,10-30
90,300640,德艺文创,0.44,,,,,2643.15,,,10-30
91,300659,中孚信息,0.2,,,,,1235.96,,,10-30
92,603776,永安行,0.98,,,12.26,,7247.63,,,10-30
93,603855,华荣股份,0.2,,,6.88,,5046.43,,,10-30
94,603055,台华新材,0.29,,,11.01,,13717.57,,,10-30
95,300665,飞鹿股份,0.22,,,,,1278.24,,,10-30
96,603385,惠达卫浴,0.65,,,7.15,,13915.82,,,10-30
97,300652,雷迪克,0.69,,,,,4548.82,,,10-30
98,300709,精研科技,2.1,,,,,13884.56,,,10-30
99,300645,正元智慧,-0.08,,,,,-408.65,,,10-30
100,300682,朗新科技,-0.19,,,,,-6996.66,,,10-30
101,603269,海鸥股份,0.25,,,4.35,,1738.95,,,10-30
102,603316,诚邦股份,0.26,,,10.15,,3894.96,,,10-30
103,603383,顶点软件,0.23,,,8.21,,1448.7,,,10-30
104,300669,沪宁股份,0.53,,,,,3375.48,,,10-30
105,601326,秦港股份,0.03,,,1.34,,15561.44,,,10-30
106,603826,坤彩科技,0.29,,,17.73,,7878.53,,,10-30
107,002883,中设股份,0.61,,,,,2458.29,,,10-30
108,603331,百达精工,0.43,,,12.75,,4084.6,,,10-30
109,002888,惠威科技,0.33,-2.94,,,,2063.1,-3.03,,10-30
110,002906,华阳集团,0.44,,,,,17624.41,,,10-30
111,300707,威唐工业,0.78,,,,,4566.87,,,10-30
112,603037,凯众股份,1.1,,,16.45,,6583.37,,,10-30
113,603181,皇马科技,,,,14.41,,8488.01,,,10-30
114,603289,泰瑞机器,0.28,,,10.55,0.49,4354.35,,,10-30
115,603321,梅轮电梯,0.25,,,13.27,,5764.44,,,10-30
116,300699,光威复材,0.4,,,,,10998.0,,,10-30
117,603683,晶华新材,0.4,,,8.71,,3791.57,,,10-30
118,601858,中国科传,0.14,,,4.72,,9208.77,,,10-30
119,603963,大理药业,0.48,,,16.33,,3568.03,,,10-30
120,603728,鸣志电器,0.43,,,15.28,,10252.66,,,10-30
121,603326,我乐家居,0.22,,,10.71,,2689.41,,,10-30
122,603396,金辰股份,0.87,,,13.04,,4904.38,,,10-30
123,300640,德艺文创,0.44,,,,,2643.15,,,10-30
124,300659,中孚信息,0.2,,,,,1235.96,,,10-30
125,300665,飞鹿股份,0.22,,,,,1278.24,,,10-30
126,603776,永安行,0.98,,,12.26,,7247.63,,,10-30
127,603855,华荣股份,0.2,,,6.88,,5046.43,,,10-30
128,603055,台华新材,0.29,,,11.01,,13717.57,,,10-30
129,300689,澄天伟业,0.57,,,,,2892.52,,,10-28
130,300562,乐心医疗,0.4,,,,,5691.55,,,10-28
131,603933,睿能科技,0.88,,,20.51,,6748.27,,,10-28
